state,measles,hepatitis,mumps,pertussis,rubella
AL,0.11734274753748376,0.10713454547524452,0.11387393292766101,0.021483097032460027,0.06082191758303164
AK,0.16770893380432375,1.2008198271119332,0.7363109964302941,0.058544118001180534,0.461598301013929
AL,0.11734274753748376,0.10713454547524452,0.11387393292766101,0.021483097032460027,0.06082191758303164
AZ,0.20857264320211788,0.6557152811970772,0.3340754169198138,0.08521560547601821,0.15511504414169924
AR,0.07111420604325104,0.2258364869243579,0.1310332105580951,0.048959660120387494,0.06099508667058089
CA,0.12192727254308534,0.48630344693388405,0.18220705327824757,0.020406932677419543,0.12952088408117213
CO,0.17795551746886087,0.3353999993012383,0.2832206503591731,0.08168316830207806,0.2322955663513227
CT,0.22084006403839165,0.19662607379689984,0.4713528985777602,0.022277456470307586,0.2696168219896956
DE,0.23157079639819872,0.2666633359782703,0.357207292501391,0.059274611991407135,0.1627210880420646
DC,0.12419713808546384,0.21670081854233,0.25414712207594403,0.025638766783712193,0.06547236987082504
FL,0.09684527797870243,0.27688634792554473,0.15267038404424543,0.015158878259848211,0.11838056621557748
GA,0.07643874609579332,0.21369565181632696,0.013345978607187593,0.020880149720997065,0.009365781608716225
HI,0.13617147167721944,0.31964003601494956,0.40204907927227895,0.10421354782978237,0.2099927708732849
ID,0.49770222965012123,0.4138739426247346,0.20779124568608473,0.2469411764871628,0.12370764817555668
IL,0.19668798820084515,0.18032394381843403,0.21478208250503708,0.023453038371070312,0.09147286798130298
IN,0.2732989694699133,0.13693525153178748,0.30426136283274513,0.03974231912009603,0.2803437824768774
IA,0.410865495918177,0.1410137190037725,0.9402032030317382,0.030314795356263392,0.3126761997508625
KS,0.29077450945681216,0.24155873404142547,0.3159094225449271,0.08766514737506934,0.12314477425750812
KY,0.26544806633577084,0.2871511623109041,0.48084690639178845,0.026257242005952953,0.20829126204101786
LA,0.11655056166012635,0.20758844741791593,0.06717100623473368,0.013118756895721555,0.06401534484284918
ME,0.396755505331629,0.2357383185736487,0.6290290304371067,0.04665832251347648,0.25005793780399227
MD,0.08150352369162517,0.1968008321823034,0.13660170511432201,0.03945054906000803,0.04365921775971711
MA,0.12633627002563727,0.17641841622098484,0.2840883187190802,0.0800685599267512,0.17917637902123112
MI,0.26832745161141486,0.2832368417557231,0.5090898487960339,0.014799330875676213,0.22530980390660904
MN,0.15581220621724085,0.15277817659080029,0.12050181802159006,0.08041850206881171,0.04187089715283405
MS,0.16654028482205496,0.1695220307547869,0.07743263466584825,0.012138888653781679,0.07340390835236454
MO,0.11401901397348584,0.22571129677362606,0.11121919533737902,0.02468230666725633,0.08662451293449921
MT,0.677142852773282,0.38855932159880274,0.4396318497952737,0.059047044366058885,0.3171761948158888
NE,0.23625823466674142,0.16441988780353609,0.12869158759713173,0.0187590184687364,0.15512038364910774
NV,0.09642182609920487,0.49150833163410423,0.08682838507444422,0.020104011988480414,0.02613911282781872
NH,0.38375716889366135,0.22962566838332463,0.25580596948848733,0.15240211735957515,0.17297769100138796
NJ,0.17215821772996914,0.250352772097576,0.160191518055828,0.006217616525782668,0.15083944618841597
NM,0.1980952382948261,0.6212318336803814,0.7704101830056989,0.09179290450845103,0.17528061369643072
NY,0.16847603964617144,0.20146514906032623,0.05589090896262364,0.03214628271070673,0.08228682130286398
NC,0.08645228215945398,0.1527698569237498,0.028078703497203043,0.027644959686325663,0.03488729508654749
ND,0.5006093753036112,0.25461240278349984,0.5775000036427522,0.039458204579796215,0.2724830380854484
OH,0.14809825666479046,0.17885430455454532,0.23772966689520095,0.03934612010833795,0.11707676127827192
OK,0.13245632042313896,0.38348536383185644,0.286561478758322,0.056434426137979034,0.14014772675211795
OR,0.15709057699953702,0.6601321866941409,0.7214763241386803,0.05562560601570037,0.21457598647564075
PA,0.12280092609293161,0.1747576734367066,0.07658027768412937,0.023975678042650668,0.059234404093136975
PR,NULL,NULL,NULL,NULL,NULL
RI,0.22585339276874092,0.43713833859904483,0.9845560731952343,0.04484137925608405,0.3251684091024698
SC,0.12638014442677503,0.1244369871750485,0.09419529833407055,0.018619047462319335,0.15010438407606022
SD,0.24378787991449688,0.5260058312565523,0.14225449521264594,0.03219570406225814,0.11345603300262326
TN,0.11512578629636727,0.29238396515852333,0.5019607833811855,0.027431941652051876,0.26967347016253945
TX,0.250648535991989,0.357263303186124,0.2945659929060341,0.023897131374354532,0.15143252511776237
UT,0.3319957312733221,0.41808677102792824,0.14465965324376553,0.05517429175476233,0.08044105178287113
VT,0.27071428389565366,0.453418719812567,0.8818386508113448,0.20411764789831624,0.37032496249041846
VA,0.19987887911848234,0.14754703813962614,0.13671192429616713,0.019951503194514462,0.12194045179273008
WA,0.1775516690168121,0.4250372878020093,0.6721490159185759,0.09158033339586354,0.3496637159348589
WV,0.23682154273690997,0.1775370229729571,0.966666667675045,0.03148491886334187,0.5265012396633552
WI,0.5239122319030884,0.14170975788644793,1.4116343289530322,0.04359464611979219,0.38977252005907054
WY,0.1953238879862102,0.32997706419694317,0.5158098228392556,0.02866773692409644,0.5665982916314378
